0	89370
1	89371
2	89373
3	89374
4	89375
5	89376
6	89377
7	89378
8	89379
9	5989
10	5982
11	5983
12	5980
13	5981
14	5986
15	5987
16	5984
17	103549
18	103548
19	82449
20	82448
21	82443
22	82442
23	103543
24	82440
25	103545
26	103544
27	82445
28	82444
29	97159
30	97158
31	97153
32	97152
33	97151
34	97150
35	97157
36	97156
37	97155
38	97154
39	270
40	272
41	273
42	16709
43	16708
44	276
45	277
46	16705
47	279
48	16707
49	16706
50	16701
51	16700
52	16703
53	16702
54	88023
55	88022
56	88021
57	88020
58	88027
59	88026
60	88025
61	88024
62	88029
63	88028
64	42085
65	79232
66	17258
67	17259
68	100014
69	100015
70	100012
71	100013
72	100010
73	100011
74	52460
75	42083
76	52462
77	52463
78	17254
79	52465
80	52466
81	100019
82	63024
83	63025
84	10709
85	10708
86	42081
87	63022
88	63023
89	10703
90	10702
91	10701
92	10700
93	10707
94	10706
95	10705
96	10704
97	22743
98	21619
99	49568
100	80277
101	21615
102	49564
103	21617
104	21616
105	21611
106	21610
107	49563
108	21612
109	80275
110	101356
111	42089
112	42088
113	62369
114	20153
115	22741
116	46869
117	46868
118	58079
119	58078
120	46861
121	46860
122	46863
123	46862
124	46865
125	46864
126	46867
127	46866
128	22746
129	48629
130	82464
131	20158
132	22747
133	103541
134	76071
135	103540
136	103542
137	22744
138	13058
139	103547
140	13052
141	13050
142	13051
143	13056
144	13057
145	13054
146	13055
147	22745
148	44427
149	44425
150	44424
151	44423
152	44421
153	44420
154	44429
155	44428
156	29929
157	64772
158	40327
159	51826
160	27619
161	29926
162	27617
163	27616
164	27615
165	27614
166	27613
167	27612
168	27611
169	27610
170	97939
171	97938
172	97931
173	97930
174	97933
175	97932
176	97935
177	97934
178	97937
179	97936
180	47672
181	65888
182	65889
183	8548
184	8545
185	65881
186	8546
187	8541
188	8540
189	8543
190	65887
191	92262
192	92263
193	92260
194	92261
195	92266
196	92267
197	92264
198	92265
199	92268
200	66504
201	66507
202	66501
203	66502
204	66503
205	50413
206	50412
207	50411
208	50417
209	50416
210	50415
211	50414
212	82991
213	82990
214	82993
215	52813
216	82992
217	52815
218	52814
219	52817
220	52816
221	52819
222	52818
223	82994
224	91004
225	60903
226	60900
227	60901
228	60906
229	60907
230	26568
231	60905
232	107893
233	107892
234	26564
235	60909
236	26562
237	107896
238	107895
239	26561
240	46137
241	15556
242	46136
243	8295
244	10519
245	65264
246	65265
247	65266
248	65260
249	65262
250	92886
251	92887
252	92884
253	92885
254	92882
255	92883
256	92880
257	92881
258	92039
259	92888
260	92889
261	109837
262	15559
263	93135
264	93134
265	93131
266	93130
267	93133
268	93132
269	109836
270	75289
271	75288
272	75286
273	75285
274	75284
275	75283
276	75282
277	75281
278	75280
279	109835
280	105639
281	105638
282	105631
283	105630
284	105633
285	105632
286	105635
287	105634
288	105637
289	105636
290	102942
291	102943
292	102940
293	102941
294	102946
295	102947
296	102944
297	102945
298	102948
299	102949
300	10510
301	109831
302	15708
303	6818
304	102364
305	102365
306	102362
307	102363
308	102360
309	102361
310	15700
311	6810
312	6813
313	6812
314	15704
315	6814
316	102368
317	15707
318	9757
319	9756
320	9755
321	9754
322	9753
323	9752
324	9751
325	9750
326	19979
327	9759
328	9758
329	24147
330	24144
331	24145
332	24142
333	24143
334	24141
335	10517
336	24148
337	77383
338	59959
339	11849
340	59951
341	59950
342	59952
343	59955
344	59954
345	59956
346	54277
347	11846
348	77384
349	54275
350	11844
351	54272
352	68348
353	68349
354	68346
355	68347
356	68340
357	68342
358	68343
359	108104
360	108105
361	108106
362	108107
363	108100
364	108101
365	108102
366	108103
367	108108
368	88986
369	52468
370	52469
371	82384
372	88981
373	30334
374	30335
375	30336
376	30337
377	30330
378	30331
379	30332
380	30333
381	76167
382	76166
383	76165
384	76164
385	30338
386	30339
387	76161
388	76160
389	7566
390	94332
391	7565
392	77388
393	7562
394	7563
395	72394
396	72396
397	72397
398	72390
399	72391
400	72392
401	72393
402	52464
403	72399
404	77389
405	100018
406	35218
407	35219
408	35214
409	35215
410	35216
411	53739
412	35213
413	23266
414	23267
415	23264
416	53738
417	23263
418	23260
419	23261
420	23268
421	109275
422	109274
423	109277
424	109276
425	109271
426	95799
427	109273
428	109272
429	95798
430	109279
431	109278
432	53733
433	53732
434	53731
435	43859
436	53730
437	63028
438	43850
439	43857
440	43856
441	43855
442	43854
443	95791
444	53734
445	73447
446	73446
447	107284
448	107285
449	73443
450	73442
451	107280
